"","logFC","logCPM","PValue","FDR"
"YAL003W",0.733206759268492,9.79755728187991,1.41517410492435e-13,4.00650008556812e-12
"YCL064C",0.951843715614019,8.3619953386528,1.52061357783334e-13,4.28450978097136e-12
"YGR233C",1.01084766671042,6.25981146214964,1.96399940299977e-13,5.50757557703774e-12
"YNR067C",1.06400777564163,6.55725030001484,2.04834703896734e-13,5.71701388187254e-12
"YIL011W",1.39044993686803,5.16123528711753,2.12843884731483e-13,5.91266322045158e-12
"YPR061C",-1.49446510957731,5.3346405447407,2.25403254251569e-13,6.2322946514324e-12
"YLR345W",-0.874276688848727,7.02114262783428,2.82239200275599e-13,7.76748533967777e-12
"YGR110W",-2.15599147786168,4.3303826027886,3.02044702373573e-13,8.27406714789087e-12
"YBR054W",1.70076002329435,5.24447633167948,3.07627114770118e-13,8.38815501426169e-12
"YPR036W-A",-1.01655542120532,8.91447992671746,3.10163692626209e-13,8.4185255471068e-12
"YLR093C",-0.815487891256166,7.25400640285998,3.49971489960162e-13,9.45562240225697e-12
"YLR256W",0.673477089505432,9.05642285200136,4.16037941274297e-13,1.11895295387273e-11
"YOR375C",-0.703798979083121,9.77563396911448,4.92522186609287e-13,1.31866686794894e-11
"YPR065W",-1.22053036660837,6.39299331788277,5.02770171047548e-13,1.34004103697673e-11
"YDR335W",-0.739778963563828,7.82025767886244,5.35642317697891e-13,1.42125362951499e-11
"YGL162W",1.27904415187346,5.74406549612581,5.90236440238274e-13,1.55912009682583e-11
"YER079W",-1.13120410529865,6.30601449154848,6.01212952131115e-13,1.58105646122658e-11
"YGR009C",-0.799365808834784,7.34285903174382,7.93298488178483e-13,2.07696776750092e-11
"YLR213C",-1.6107970884793,5.13021552334824,8.5678707504497e-13,2.23330798371854e-11
"YML101C",-1.06493999969947,5.80624454967425,8.89303103108708e-13,2.30789757065536e-11
"YDL214C",-2.14815887696681,4.12728132879706,1.31150336954117e-12,3.3887185316922e-11
"YFL068W",-1.01986282708523,7.50344137044818,1.55297757501719e-12,3.99520361364205e-11
"YKL045W",-1.07552376537103,5.98395534361207,1.65510836373544e-12,4.23951350139508e-11
"YBL015W",-0.948776487500363,7.12148983212235,2.76386509820329e-12,7.04904732158141e-11
"YPL150W",-1.02176551252403,6.00044953874223,2.83360677279605e-12,7.19590183460697e-11
"YFL008W",-1.08922187160387,6.15182836789119,3.10136489969428e-12,7.84221201345773e-11
"YKL056C",0.540641956579701,10.9364830553092,3.17325403697498e-12,7.98984856884297e-11
"YKL188C",-1.13141647616366,5.39312360795279,3.27106875839389e-12,8.17254554444011e-11
